Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
TIME TAKEN FOR CCL CLUSTERISATION: 0.043409s
After: Module: 755, Clusters in module: 24, Cell 0, Point (179, 118) belongs to cluster 1. Activation: 0.032330
After: Module: 755, Clusters in module: 24, Cell 17, Point (179, 135) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 18, Point (179, 136) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 19, Point (179, 137) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 20, Point (179, 138) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 21, Point (179, 139) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 22, Point (179, 140) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 23, Point (179, 141) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 24, Point (179, 142) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 25, Point (179, 143) belongs to cluster 1. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 26, Point (179, 144) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 27, Point (179, 145) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 28, Point (179, 146) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 29, Point (179, 147) belongs to cluster 1. Activation: 0.016546
After: Module: 755, Clusters in module: 24, Cell 30, Point (323, 156) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 31, Point (323, 157) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 32, Point (323, 158) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 33, Point (323, 159) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 34, Point (323, 160) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 35, Point (323, 161) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 36, Point (323, 162) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 37, Point (323, 163) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 38, Point (323, 164) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 39, Point (323, 165) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 40, Point (323, 166) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 41, Point (323, 167) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 42, Point (323, 168) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 43, Point (323, 169) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 44, Point (323, 170) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 45, Point (323, 171) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 46, Point (323, 172) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 47, Point (323, 173) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 48, Point (323, 174) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 49, Point (323, 175) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 50, Point (323, 176) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 51, Point (323, 177) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 52, Point (323, 178) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 53, Point (323, 179) belongs to cluster 2. Activation: 0.050130
After: Module: 755, Clusters in module: 24, Cell 54, Point (322, 180) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 55, Point (322, 181) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 56, Point (322, 182) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 57, Point (322, 183) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 58, Point (322, 184) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 59, Point (322, 185) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 60, Point (322, 186) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 61, Point (322, 187) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 62, Point (322, 188) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 63, Point (322, 189) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 64, Point (322, 190) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 65, Point (322, 191) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 66, Point (322, 192) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 67, Point (322, 193) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 68, Point (322, 194) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 69, Point (322, 195) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 70, Point (322, 196) belongs to cluster 2. Activation: 0.056251
After: Module: 755, Clusters in module: 24, Cell 71, Point (322, 197) belongs to cluster 2. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 72, Point (322, 198) belongs to cluster 2. Activation: 0.056249
After: Module: 755, Clusters in module: 24, Cell 73, Point (322, 199) belongs to cluster 2. Activation: 0.045101
After: Module: 755, Clusters in module: 24, Cell 74, Point (43, 231) belongs to cluster 3. Activation: 0.053906
After: Module: 755, Clusters in module: 24, Cell 75, Point (43, 232) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 76, Point (43, 233) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 77, Point (72, 233) belongs to cluster 4. Activation: 0.032470
After: Module: 755, Clusters in module: 24, Cell 78, Point (43, 234) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 79, Point (72, 234) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 80, Point (43, 235) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 81, Point (72, 235) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 82, Point (43, 236) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 83, Point (72, 236) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 84, Point (72, 237) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 85, Point (43, 237) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 86, Point (72, 238) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 87, Point (43, 238) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 88, Point (72, 239) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 89, Point (43, 239) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 90, Point (72, 240) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 91, Point (43, 240) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 92, Point (72, 241) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 93, Point (43, 241) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 94, Point (72, 242) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 95, Point (43, 242) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 96, Point (72, 243) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 97, Point (43, 243) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 98, Point (72, 244) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 99, Point (43, 244) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 100, Point (72, 245) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 101, Point (43, 245) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 102, Point (43, 246) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 103, Point (72, 246) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 104, Point (43, 247) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 105, Point (72, 247) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 106, Point (43, 248) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 107, Point (72, 248) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 108, Point (43, 249) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 109, Point (72, 249) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 110, Point (72, 250) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 111, Point (43, 250) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 112, Point (72, 251) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 113, Point (44, 251) belongs to cluster 3. Activation: 0.029491
After: Module: 755, Clusters in module: 24, Cell 114, Point (43, 251) belongs to cluster 3. Activation: 0.026772
After: Module: 755, Clusters in module: 24, Cell 115, Point (72, 252) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 116, Point (44, 252) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 117, Point (72, 253) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 118, Point (44, 253) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 119, Point (72, 254) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 120, Point (44, 254) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 121, Point (72, 255) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 122, Point (44, 255) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 123, Point (72, 256) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 124, Point (44, 256) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 125, Point (72, 257) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 126, Point (44, 257) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 127, Point (44, 258) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 128, Point (72, 258) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 129, Point (72, 259) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 130, Point (44, 259) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 131, Point (72, 260) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 132, Point (44, 260) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 133, Point (72, 261) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 134, Point (44, 261) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 135, Point (72, 262) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 136, Point (44, 262) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 137, Point (72, 263) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 138, Point (44, 263) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 139, Point (72, 264) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 140, Point (44, 264) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 141, Point (44, 265) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 142, Point (72, 265) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 143, Point (44, 266) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 144, Point (72, 266) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 145, Point (44, 267) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 146, Point (72, 267) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 147, Point (72, 268) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 148, Point (44, 268) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 149, Point (72, 269) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 150, Point (44, 269) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 151, Point (72, 270) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 152, Point (44, 270) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 153, Point (44, 271) belongs to cluster 3. Activation: 0.056263
After: Module: 755, Clusters in module: 24, Cell 154, Point (72, 271) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 155, Point (72, 272) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 156, Point (44, 272) belongs to cluster 3. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 157, Point (72, 273) belongs to cluster 4. Activation: 0.056252
After: Module: 755, Clusters in module: 24, Cell 158, Point (44, 273) belongs to cluster 3. Activation: 0.056261
After: Module: 755, Clusters in module: 24, Cell 159, Point (72, 274) belongs to cluster 4. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 160, Point (44, 274) belongs to cluster 3. Activation: 0.011809
After: Module: 755, Clusters in module: 24, Cell 161, Point (72, 275) belongs to cluster 4. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 162, Point (72, 276) belongs to cluster 4. Activation: 0.034975
After: Module: 755, Clusters in module: 24, Cell 163, Point (31, 333) belongs to cluster 5. Activation: 0.012404
After: Module: 755, Clusters in module: 24, Cell 164, Point (31, 334) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 165, Point (31, 335) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 166, Point (31, 336) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 167, Point (31, 337) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 168, Point (31, 338) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 169, Point (31, 339) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 170, Point (31, 340) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 171, Point (31, 341) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 172, Point (31, 342) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 173, Point (31, 343) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 174, Point (31, 344) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 175, Point (31, 345) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 176, Point (31, 346) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 177, Point (31, 347) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 178, Point (31, 348) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 179, Point (31, 349) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 180, Point (31, 350) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 181, Point (31, 351) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 182, Point (31, 352) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 183, Point (31, 353) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 184, Point (31, 354) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 185, Point (31, 355) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 186, Point (31, 356) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 187, Point (31, 357) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 188, Point (31, 358) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 189, Point (31, 359) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 190, Point (32, 360) belongs to cluster 5. Activation: 0.037432
After: Module: 755, Clusters in module: 24, Cell 191, Point (31, 360) belongs to cluster 5. Activation: 0.018844
After: Module: 755, Clusters in module: 24, Cell 192, Point (32, 361) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 193, Point (32, 362) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 194, Point (32, 363) belongs to cluster 5. Activation: 0.056278
After: Module: 755, Clusters in module: 24, Cell 195, Point (32, 364) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 196, Point (32, 365) belongs to cluster 5. Activation: 0.056276
After: Module: 755, Clusters in module: 24, Cell 197, Point (32, 366) belongs to cluster 5. Activation: 0.032616
After: Module: 755, Clusters in module: 24, Cell 198, Point (24, 439) belongs to cluster 6. Activation: 0.038263
After: Module: 755, Clusters in module: 24, Cell 199, Point (24, 440) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 200, Point (24, 441) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 201, Point (24, 442) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 202, Point (24, 443) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 203, Point (24, 444) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 204, Point (24, 445) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 205, Point (24, 446) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 206, Point (24, 447) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 207, Point (24, 448) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 208, Point (24, 449) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 209, Point (24, 450) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 210, Point (24, 451) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 211, Point (24, 452) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 212, Point (24, 453) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 213, Point (24, 454) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 214, Point (24, 455) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 215, Point (24, 456) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 216, Point (24, 457) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 217, Point (24, 458) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 218, Point (24, 459) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 219, Point (24, 460) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 220, Point (24, 461) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 221, Point (24, 462) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 222, Point (24, 463) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 223, Point (24, 464) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 224, Point (24, 465) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 225, Point (24, 466) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 226, Point (24, 467) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 227, Point (24, 468) belongs to cluster 6. Activation: 0.051280
After: Module: 755, Clusters in module: 24, Cell 228, Point (25, 469) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 229, Point (25, 470) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 230, Point (25, 471) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 231, Point (25, 472) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 232, Point (25, 473) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 233, Point (25, 474) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 234, Point (25, 475) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 235, Point (25, 476) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 236, Point (25, 477) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 237, Point (25, 478) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 238, Point (25, 479) belongs to cluster 6. Activation: 0.056266
After: Module: 755, Clusters in module: 24, Cell 239, Point (25, 480) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 240, Point (25, 481) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 241, Point (25, 482) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 242, Point (25, 483) belongs to cluster 6. Activation: 0.056265
After: Module: 755, Clusters in module: 24, Cell 243, Point (25, 484) belongs to cluster 6. Activation: 0.024015
After: Module: 755, Clusters in module: 24, Cell 244, Point (151, 510) belongs to cluster 7. Activation: 0.035197
After: Module: 755, Clusters in module: 24, Cell 245, Point (151, 511) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 246, Point (151, 512) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 247, Point (151, 513) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 248, Point (151, 514) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 249, Point (151, 515) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 250, Point (151, 516) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 251, Point (151, 517) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 252, Point (151, 518) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 253, Point (151, 519) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 254, Point (151, 520) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 255, Point (151, 521) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 256, Point (151, 522) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 257, Point (151, 523) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 258, Point (151, 524) belongs to cluster 7. Activation: 0.056255
After: Module: 755, Clusters in module: 24, Cell 259, Point (152, 525) belongs to cluster 7. Activation: 0.055093
After: Module: 755, Clusters in module: 24, Cell 260, Point (152, 526) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 261, Point (152, 527) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 262, Point (152, 528) belongs to cluster 7. Activation: 0.056253
After: Module: 755, Clusters in module: 24, Cell 263, Point (152, 529) belongs to cluster 7. Activation: 0.056255
