Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
Idx: 2496, i.e. (39, 0): Cell position: (78, 994) activation: 0.050836
Idx: 1277, i.e. (19, 61): Cell position: (328, 484) activation: 0.056267
Idx: 1278, i.e. (19, 62): Cell position: (88, 305) activation: 0.057023
Idx: 1279, i.e. (19, 63): Cell position: (306, 387) activation: 0.056264
Idx: 1344, i.e. (21, 0): Cell position: (153, 461) activation: 0.056279
Idx: 1345, i.e. (21, 1): Cell position: (175, 249) activation: 0.056334
Idx: 1346, i.e. (21, 2): Cell position: (124, 287) activation: 0.014412
Idx: 1347, i.e. (21, 3): Cell position: (259, 621) activation: 0.056328
Idx: 1348, i.e. (21, 4): Cell position: (302, 198) activation: 0.056249
Idx: 1349, i.e. (21, 5): Cell position: (19, 229) activation: 0.056347
Idx: 1350, i.e. (21, 6): Cell position: (1, 220) activation: 0.056331
Idx: 1351, i.e. (21, 7): Cell position: (130, 283) activation: 0.056253
Idx: 1352, i.e. (21, 8): Cell position: (334, 259) activation: 0.032993
Idx: 1353, i.e. (21, 9): Cell position: (52, 379) activation: 0.036713
Idx: 1354, i.e. (21, 10): Cell position: (109, 329) activation: 0.056362
Idx: 1355, i.e. (21, 11): Cell position: (137, 1051) activation: 0.056283
Idx: 1356, i.e. (21, 12): Cell position: (325, 51) activation: 0.056251
Idx: 1357, i.e. (21, 13): Cell position: (312, 303) activation: 0.056268
Idx: 1358, i.e. (21, 14): Cell position: (18, 1203) activation: 0.056295
Idx: 1359, i.e. (21, 15): Cell position: (244, 172) activation: 0.056271
Idx: 1360, i.e. (21, 16): Cell position: (82, 370) activation: 0.056404
Idx: 1361, i.e. (21, 17): Cell position: (229, 424) activation: 0.056264
Idx: 1362, i.e. (21, 18): Cell position: (267, 292) activation: 0.056250
Idx: 1363, i.e. (21, 19): Cell position: (296, 53) activation: 0.056261
Idx: 1364, i.e. (21, 20): Cell position: (66, 468) activation: 0.056330
Idx: 1365, i.e. (21, 21): Cell position: (118, 484) activation: 0.056281
Idx: 1366, i.e. (21, 22): Cell position: (281, 117) activation: 0.056267
Idx: 1367, i.e. (21, 23): Cell position: (5, 94) activation: 0.056285
Idx: 1368, i.e. (21, 24): Cell position: (116, 610) activation: 0.056260
Idx: 1369, i.e. (21, 25): Cell position: (249, 159) activation: 0.056304
Idx: 1370, i.e. (21, 26): Cell position: (3, 137) activation: 0.056286
Idx: 1371, i.e. (21, 27): Cell position: (224, 20) activation: 0.025208
Idx: 1372, i.e. (21, 28): Cell position: (73, 457) activation: 0.056268
Idx: 1373, i.e. (21, 29): Cell position: (117, 271) activation: 0.056313
Idx: 1374, i.e. (21, 30): Cell position: (95, 416) activation: 0.056276
Idx: 1375, i.e. (21, 31): Cell position: (326, 225) activation: 0.056257
Idx: 1376, i.e. (21, 32): Cell position: (273, 68) activation: 0.056249
Idx: 1377, i.e. (21, 33): Cell position: (209, 690) activation: 0.056320
Idx: 1378, i.e. (21, 34): Cell position: (269, 100) activation: 0.056252
Idx: 1379, i.e. (21, 35): Cell position: (214, 513) activation: 0.056250
Idx: 1380, i.e. (21, 36): Cell position: (306, 92) activation: 0.013113
Idx: 1381, i.e. (21, 37): Cell position: (332, 367) activation: 0.056274
Idx: 1382, i.e. (21, 38): Cell position: (54, 520) activation: 0.056250
Idx: 1383, i.e. (21, 39): Cell position: (289, 332) activation: 0.027575
Idx: 1384, i.e. (21, 40): Cell position: (302, 475) activation: 0.056250
Idx: 1385, i.e. (21, 41): Cell position: (55, 451) activation: 0.056268
Idx: 1386, i.e. (21, 42): Cell position: (191, 99) activation: 0.042431
Idx: 1387, i.e. (21, 43): Cell position: (160, 917) activation: 0.056250
Idx: 1388, i.e. (21, 44): Cell position: (93, 984) activation: 0.056264
Idx: 1389, i.e. (21, 45): Cell position: (69, 678) activation: 0.056304
Idx: 1390, i.e. (21, 46): Cell position: (276, 82) activation: 0.056253
Idx: 1391, i.e. (21, 47): Cell position: (147, 245) activation: 0.056278
Idx: 1392, i.e. (21, 48): Cell position: (186, 108) activation: 0.056353
Idx: 1393, i.e. (21, 49): Cell position: (250, 522) activation: 0.056259
Idx: 1394, i.e. (21, 50): Cell position: (229, 838) activation: 0.056254
Idx: 1395, i.e. (21, 51): Cell position: (291, 451) activation: 0.012853
Idx: 1396, i.e. (21, 52): Cell position: (177, 34) activation: 0.056286
Idx: 1397, i.e. (21, 53): Cell position: (72, 376) activation: 0.056285
Idx: 1398, i.e. (21, 54): Cell position: (173, 465) activation: 0.056284
Idx: 1399, i.e. (21, 55): Cell position: (299, 19) activation: 0.056257
Idx: 1400, i.e. (21, 56): Cell position: (30, 139) activation: 0.056271
Idx: 1401, i.e. (21, 57): Cell position: (42, 292) activation: 0.056290
Idx: 1402, i.e. (21, 58): Cell position: (294, 314) activation: 0.056250
Idx: 1403, i.e. (21, 59): Cell position: (231, 264) activation: 0.056255
Idx: 1404, i.e. (21, 60): Cell position: (32, 391) activation: 0.056265
Idx: 1405, i.e. (21, 61): Cell position: (110, 348) activation: 0.056676
Idx: 1406, i.e. (21, 62): Cell position: (268, 613) activation: 0.056249
Idx: 1407, i.e. (21, 63): Cell position: (132, 239) activation: 0.056271
Idx: 742, i.e. (11, 38): Cell position: (101, 70) activation: 0.056252
Idx: 743, i.e. (11, 39): Cell position: (48, 16) activation: 0.056258
Idx: 744, i.e. (11, 40): Cell position: (28, 119) activation: 0.056263
Idx: 745, i.e. (11, 41): Cell position: (227, 66) activation: 0.056248
Idx: 746, i.e. (11, 42): Cell position: (297, 168) activation: 0.056248
Idx: 747, i.e. (11, 43): Cell position: (39, 327) activation: 0.056262
Idx: 748, i.e. (11, 44): Cell position: (80, 127) activation: 0.014460
Idx: 749, i.e. (11, 45): Cell position: (247, 23) activation: 0.056248
Idx: 750, i.e. (11, 46): Cell position: (134, 45) activation: 0.056260
Idx: 751, i.e. (11, 47): Cell position: (233, 206) activation: 0.056250
Idx: 752, i.e. (11, 48): Cell position: (316, 50) activation: 0.048445
Idx: 753, i.e. (11, 49): Cell position: (46, 186) activation: 0.056265
Idx: 754, i.e. (11, 50): Cell position: (144, 84) activation: 0.056253
Idx: 755, i.e. (11, 51): Cell position: (179, 141) activation: 0.056254
Idx: 756, i.e. (11, 52): Cell position: (11, 228) activation: 0.056267
Idx: 757, i.e. (11, 53): Cell position: (188, 225) activation: 0.056251
Idx: 758, i.e. (11, 54): Cell position: (268, 22) activation: 0.056252
Idx: 759, i.e. (11, 55): Cell position: (310, 23) activation: 0.056249
Idx: 760, i.e. (11, 56): Cell position: (181, 31) activation: 0.056249
Idx: 761, i.e. (11, 57): Cell position: (182, 28) activation: 0.056254
Idx: 762, i.e. (11, 58): Cell position: (283, 12) activation: 0.056252
Idx: 763, i.e. (11, 59): Cell position: (20, 68) activation: 0.056271
Idx: 764, i.e. (11, 60): Cell position: (274, 220) activation: 0.056250
Idx: 765, i.e. (11, 61): Cell position: (303, 62) activation: 0.045951
Idx: 766, i.e. (11, 62): Cell position: (294, 131) activation: 0.056250
Idx: 767, i.e. (11, 63): Cell position: (147, 12) activation: 0.056257
Idx: 2016, i.e. (31, 32): Cell position: (105, 831) activation: 0.056359
Idx: 2017, i.e. (31, 33): Cell position: (178, 574) activation: 0.056472
Idx: 2020, i.e. (31, 36): Cell position: (186, 526) activation: 0.056259
Idx: 2021, i.e. (31, 37): Cell position: (153, 1064) activation: 0.056342
Idx: 2022, i.e. (31, 38): Cell position: (259, 852) activation: 0.056392
Idx: 2023, i.e. (31, 39): Cell position: (130, 944) activation: 0.056265
Idx: 2024, i.e. (31, 40): Cell position: (1, 653) activation: 0.056254
Idx: 2028, i.e. (31, 44): Cell position: (314, 697) activation: 0.056258
Idx: 2029, i.e. (31, 45): Cell position: (33, 767) activation: 0.056398
Idx: 2030, i.e. (31, 46): Cell position: (331, 648) activation: 0.056268
Idx: 2031, i.e. (31, 47): Cell position: (267, 561) activation: 0.056262
Idx: 2032, i.e. (31, 48): Cell position: (241, 744) activation: 0.056274
Idx: 2033, i.e. (31, 49): Cell position: (44, 965) activation: 0.056293
Idx: 2034, i.e. (31, 50): Cell position: (306, 1043) activation: 0.056253
Idx: 2035, i.e. (31, 51): Cell position: (187, 1067) activation: 0.056254
Idx: 2037, i.e. (31, 53): Cell position: (114, 980) activation: 0.056267
Idx: 2038, i.e. (31, 54): Cell position: (99, 748) activation: 0.056318
Idx: 2039, i.e. (31, 55): Cell position: (175, 110) activation: 0.016763
Idx: 2040, i.e. (31, 56): Cell position: (231, 472) activation: 0.056603
Idx: 2041, i.e. (31, 57): Cell position: (250, 705) activation: 0.056393
Idx: 2044, i.e. (31, 60): Cell position: (278, 1091) activation: 0.056254
Idx: 2045, i.e. (31, 61): Cell position: (115, 527) activation: 0.056272
Idx: 2046, i.e. (31, 62): Cell position: (266, 817) activation: 0.056292
Idx: 2047, i.e. (31, 63): Cell position: (179, 593) activation: 0.056385
Idx: 1984, i.e. (31, 0): Cell position: (158, 1087) activation: 0.047266
Idx: 1985, i.e. (31, 1): Cell position: (186, 553) activation: 0.040752
Idx: 1986, i.e. (31, 2): Cell position: (124, 480) activation: 0.056664
Idx: 1987, i.e. (31, 3): Cell position: (265, 856) activation: 0.042511
Idx: 1988, i.e. (31, 4): Cell position: (245, 393) activation: 0.056318
Idx: 1989, i.e. (31, 5): Cell position: (18, 764) activation: 0.051177
Idx: 1990, i.e. (31, 6): Cell position: (141, 611) activation: 0.012794
Idx: 1992, i.e. (31, 8): Cell position: (270, 792) activation: 0.056370
Idx: 1993, i.e. (31, 9): Cell position: (98, 820) activation: 0.056248
Idx: 1994, i.e. (31, 10): Cell position: (299, 1084) activation: 0.043002
Idx: 1995, i.e. (31, 11): Cell position: (282, 474) activation: 0.023740
Idx: 1996, i.e. (31, 12): Cell position: (0, 556) activation: 0.037782
Idx: 1997, i.e. (31, 13): Cell position: (24, 309) activation: 0.012256
Idx: 1998, i.e. (31, 14): Cell position: (72, 315) activation: 0.056930
Idx: 1999, i.e. (31, 15): Cell position: (119, 638) activation: 0.033508
Idx: 2000, i.e. (31, 16): Cell position: (307, 545) activation: 0.037440
Idx: 2001, i.e. (31, 17): Cell position: (19, 642) activation: 0.043121
Idx: 2002, i.e. (31, 18): Cell position: (201, 194) activation: 0.049825
Idx: 2003, i.e. (31, 19): Cell position: (110, 910) activation: 0.056262
Idx: 2005, i.e. (31, 21): Cell position: (278, 934) activation: 0.056272
Idx: 2006, i.e. (31, 22): Cell position: (91, 502) activation: 0.056389
Idx: 2007, i.e. (31, 23): Cell position: (229, 754) activation: 0.039504
Idx: 2008, i.e. (31, 24): Cell position: (233, 1233) activation: 0.056256
Idx: 2009, i.e. (31, 25): Cell position: (91, 535) activation: 0.056302
Idx: 2010, i.e. (31, 26): Cell position: (27, 658) activation: 0.018438
Idx: 2011, i.e. (31, 27): Cell position: (165, 1071) activation: 0.056252
Idx: 2012, i.e. (31, 28): Cell position: (126, 959) activation: 0.056435
Idx: 2014, i.e. (31, 30): Cell position: (198, 278) activation: 0.056283
Idx: 2015, i.e. (31, 31): Cell position: (237, 605) activation: 0.056291
Idx: 2546, i.e. (39, 50): Cell position: (131, 668) activation: 0.037468
Idx: 2555, i.e. (39, 59): Cell position: (159, 1052) activation: 0.028878
Idx: 579, i.e. (9, 3): Cell position: (290, 950) activation: 0.020217
Idx: 590, i.e. (9, 14): Cell position: (114, 1061) activation: 0.024546
Idx: 593, i.e. (9, 17): Cell position: (189, 809) activation: 0.024174
Idx: 596, i.e. (9, 20): Cell position: (285, 1146) activation: 0.021342
Idx: 597, i.e. (9, 21): Cell position: (316, 1165) activation: 0.013744
Idx: 2368, i.e. (37, 0): Cell position: (314, 533) activation: 0.056759
Idx: 2372, i.e. (37, 4): Cell position: (77, 361) activation: 0.025663
Idx: 2374, i.e. (37, 6): Cell position: (110, 1274) activation: 0.056450
Idx: 2385, i.e. (37, 17): Cell position: (303, 1018) activation: 0.056252
Idx: 2387, i.e. (37, 19): Cell position: (255, 1245) activation: 0.043796
Idx: 2388, i.e. (37, 20): Cell position: (215, 839) activation: 0.056772
Idx: 2389, i.e. (37, 21): Cell position: (179, 1186) activation: 0.024289
Idx: 2393, i.e. (37, 25): Cell position: (88, 1018) activation: 0.057673
Idx: 2396, i.e. (37, 28): Cell position: (87, 813) activation: 0.034992
Idx: 2398, i.e. (37, 30): Cell position: (122, 906) activation: 0.020336
Idx: 611, i.e. (9, 35): Cell position: (232, 961) activation: 0.023853
Idx: 612, i.e. (9, 36): Cell position: (188, 1060) activation: 0.024735
Idx: 613, i.e. (9, 37): Cell position: (64, 944) activation: 0.024746
Idx: 614, i.e. (9, 38): Cell position: (297, 829) activation: 0.012730
Idx: 618, i.e. (9, 42): Cell position: (139, 1102) activation: 0.026219
Idx: 623, i.e. (9, 47): Cell position: (232, 1004) activation: 0.022946
Idx: 633, i.e. (9, 57): Cell position: (276, 957) activation: 0.025507
Idx: 634, i.e. (9, 58): Cell position: (182, 522) activation: 0.015868
Idx: 635, i.e. (9, 59): Cell position: (88, 648) activation: 0.012025
Idx: 636, i.e. (9, 60): Cell position: (193, 756) activation: 0.014716
Idx: 637, i.e. (9, 61): Cell position: (89, 701) activation: 0.011153
Idx: 638, i.e. (9, 62): Cell position: (284, 799) activation: 0.015801
Idx: 639, i.e. (9, 63): Cell position: (256, 425) activation: 0.010115
Idx: 3181, i.e. (49, 45): Cell position: (229, 607) activation: 0.034280
Idx: 3186, i.e. (49, 50): Cell position: (72, 627) activation: 0.023199
Idx: 3188, i.e. (49, 52): Cell position: (181, 1196) activation: 0.034071
Idx: 3189, i.e. (49, 53): Cell position: (292, 724) activation: 0.012568
Idx: 3190, i.e. (49, 54): Cell position: (27, 577) activation: 0.022628
Idx: 3191, i.e. (49, 55): Cell position: (172, 644) activation: 0.021946
Idx: 3195, i.e. (49, 59): Cell position: (186, 1192) activation: 0.024764
Idx: 1216, i.e. (19, 0): Cell position: (3, 87) activation: 0.028178
Idx: 1217, i.e. (19, 1): Cell position: (24, 721) activation: 0.057024
Idx: 1218, i.e. (19, 2): Cell position: (278, 481) activation: 0.056280
Idx: 1219, i.e. (19, 3): Cell position: (63, 391) activation: 0.031644
Idx: 1220, i.e. (19, 4): Cell position: (203, 760) activation: 0.056386
Idx: 1221, i.e. (19, 5): Cell position: (324, 493) activation: 0.038326
Idx: 1222, i.e. (19, 6): Cell position: (300, 925) activation: 0.056260
Idx: 1223, i.e. (19, 7): Cell position: (99, 101) activation: 0.056397
Idx: 1224, i.e. (19, 8): Cell position: (46, 538) activation: 0.040568
Idx: 1225, i.e. (19, 9): Cell position: (126, 242) activation: 0.022547
Idx: 1226, i.e. (19, 10): Cell position: (224, 267) activation: 0.056318
Idx: 1227, i.e. (19, 11): Cell position: (67, 248) activation: 0.056464
Idx: 1228, i.e. (19, 12): Cell position: (287, 291) activation: 0.056250
Idx: 1229, i.e. (19, 13): Cell position: (9, 96) activation: 0.057318
Idx: 1230, i.e. (19, 14): Cell position: (52, 83) activation: 0.049340
Idx: 1231, i.e. (19, 15): Cell position: (82, 273) activation: 0.056382
Idx: 1232, i.e. (19, 16): Cell position: (26, 443) activation: 0.037808
Idx: 1233, i.e. (19, 17): Cell position: (145, 595) activation: 0.056456
Idx: 1234, i.e. (19, 18): Cell position: (334, 411) activation: 0.056252
Idx: 1235, i.e. (19, 19): Cell position: (122, 251) activation: 0.010883
Idx: 1236, i.e. (19, 20): Cell position: (181, 567) activation: 0.056368
Idx: 1237, i.e. (19, 21): Cell position: (328, 358) activation: 0.056256
Idx: 1238, i.e. (19, 22): Cell position: (147, 148) activation: 0.037617
Idx: 1239, i.e. (19, 23): Cell position: (188, 52) activation: 0.057677
Idx: 1240, i.e. (19, 24): Cell position: (131, 471) activation: 0.056478
Idx: 1241, i.e. (19, 25): Cell position: (314, 511) activation: 0.056296
Idx: 1242, i.e. (19, 26): Cell position: (283, 638) activation: 0.056291
Idx: 1243, i.e. (19, 27): Cell position: (168, 755) activation: 0.056270
Idx: 1244, i.e. (19, 28): Cell position: (274, 379) activation: 0.053536
Idx: 1245, i.e. (19, 29): Cell position: (103, 319) activation: 0.041037
Idx: 1246, i.e. (19, 30): Cell position: (278, 245) activation: 0.043076
Idx: 1247, i.e. (19, 31): Cell position: (294, 269) activation: 0.056471
Idx: 3136, i.e. (49, 0): Cell position: (228, 413) activation: 0.013443
Idx: 3137, i.e. (49, 1): Cell position: (207, 480) activation: 0.018044
Idx: 3138, i.e. (49, 2): Cell position: (249, 554) activation: 0.014150
Idx: 3139, i.e. (49, 3): Cell position: (206, 569) activation: 0.016070
Idx: 3140, i.e. (49, 4): Cell position: (192, 596) activation: 0.015225
Idx: 3141, i.e. (49, 5): Cell position: (96, 497) activation: 0.013564
Idx: 3142, i.e. (49, 6): Cell position: (215, 416) activation: 0.013539
Idx: 3143, i.e. (49, 7): Cell position: (245, 498) activation: 0.015958
Idx: 3144, i.e. (49, 8): Cell position: (318, 420) activation: 0.011662
Idx: 3145, i.e. (49, 9): Cell position: (222, 328) activation: 0.010793
Idx: 3146, i.e. (49, 10): Cell position: (110, 488) activation: 0.012073
Idx: 3147, i.e. (49, 11): Cell position: (159, 469) activation: 0.012982
Idx: 3148, i.e. (49, 12): Cell position: (93, 364) activation: 0.012141
Idx: 3149, i.e. (49, 13): Cell position: (306, 425) activation: 0.013840
Idx: 3150, i.e. (49, 14): Cell position: (130, 501) activation: 0.013256
Idx: 3151, i.e. (49, 15): Cell position: (149, 502) activation: 0.014489
Idx: 3152, i.e. (49, 16): Cell position: (304, 448) activation: 0.013026
Idx: 3153, i.e. (49, 17): Cell position: (115, 422) activation: 0.010678
Idx: 3154, i.e. (49, 18): Cell position: (162, 510) activation: 0.014591
Idx: 3155, i.e. (49, 19): Cell position: (163, 493) activation: 0.016118
Idx: 3156, i.e. (49, 20): Cell position: (264, 575) activation: 0.012412
Idx: 3157, i.e. (49, 21): Cell position: (125, 473) activation: 0.010657
Idx: 3158, i.e. (49, 22): Cell position: (149, 478) activation: 0.012981
Idx: 3159, i.e. (49, 23): Cell position: (92, 459) activation: 0.015445
Idx: 3160, i.e. (49, 24): Cell position: (204, 483) activation: 0.015510
Idx: 3161, i.e. (49, 25): Cell position: (105, 533) activation: 0.014193
Idx: 3162, i.e. (49, 26): Cell position: (109, 424) activation: 0.013703
Idx: 3163, i.e. (49, 27): Cell position: (12, 587) activation: 0.015497
Idx: 3164, i.e. (49, 28): Cell position: (210, 969) activation: 0.021623
Idx: 3650, i.e. (57, 2): Cell position: (70, 793) activation: 0.017317
Idx: 3654, i.e. (57, 6): Cell position: (193, 942) activation: 0.010258
Idx: 3656, i.e. (57, 8): Cell position: (176, 1014) activation: 0.022752
Idx: 3658, i.e. (57, 10): Cell position: (184, 1206) activation: 0.011492
Idx: 3659, i.e. (57, 11): Cell position: (232, 930) activation: 0.010608
Idx: 3660, i.e. (57, 12): Cell position: (295, 1053) activation: 0.023316
Idx: 3662, i.e. (57, 14): Cell position: (285, 1226) activation: 0.021666
Idx: 3663, i.e. (57, 15): Cell position: (39, 797) activation: 0.020233
Idx: 3670, i.e. (57, 22): Cell position: (99, 1116) activation: 0.010781
Idx: 3672, i.e. (57, 24): Cell position: (185, 1214) activation: 0.010630
Idx: 3673, i.e. (57, 25): Cell position: (185, 1270) activation: 0.011780
Idx: 3676, i.e. (57, 28): Cell position: (247, 1260) activation: 0.011161
Idx: 3678, i.e. (57, 30): Cell position: (270, 1036) activation: 0.010339
Idx: 3679, i.e. (57, 31): Cell position: (230, 1251) activation: 0.011417
Idx: 482, i.e. (7, 34): Cell position: (115, 921) activation: 0.012976
Idx: 485, i.e. (7, 37): Cell position: (282, 1071) activation: 0.012411
Idx: 504, i.e. (7, 56): Cell position: (310, 1218) activation: 0.020826
Idx: 2402, i.e. (37, 34): Cell position: (41, 323) activation: 0.044651
Idx: 2406, i.e. (37, 38): Cell position: (273, 726) activation: 0.056262
Idx: 2418, i.e. (37, 50): Cell position: (305, 946) activation: 0.055724
Idx: 2419, i.e. (37, 51): Cell position: (21, 913) activation: 0.033806
Idx: 2420, i.e. (37, 52): Cell position: (314, 997) activation: 0.034276
Idx: 2421, i.e. (37, 53): Cell position: (100, 771) activation: 0.029902
Idx: 2424, i.e. (37, 56): Cell position: (28, 736) activation: 0.043199
Idx: 2427, i.e. (37, 59): Cell position: (311, 762) activation: 0.044731
Idx: 1738, i.e. (27, 10): Cell position: (102, 909) activation: 0.045295
Idx: 1741, i.e. (27, 13): Cell position: (307, 673) activation: 0.012456
Idx: 1745, i.e. (27, 17): Cell position: (317, 1002) activation: 0.052322
Idx: 1748, i.e. (27, 20): Cell position: (178, 1205) activation: 0.015330
Idx: 1749, i.e. (27, 21): Cell position: (249, 1004) activation: 0.049687
Idx: 1752, i.e. (27, 24): Cell position: (127, 624) activation: 0.035219
Idx: 1753, i.e. (27, 25): Cell position: (212, 607) activation: 0.035215
Idx: 1757, i.e. (27, 29): Cell position: (45, 1044) activation: 0.052718
Idx: 1758, i.e. (27, 30): Cell position: (164, 359) activation: 0.033295
Idx: 1888, i.e. (29, 32): Cell position: (141, 719) activation: 0.054740
Idx: 1889, i.e. (29, 33): Cell position: (271, 421) activation: 0.055648
Idx: 1890, i.e. (29, 34): Cell position: (8, 230) activation: 0.018912
Idx: 1891, i.e. (29, 35): Cell position: (71, 629) activation: 0.056289
Idx: 1892, i.e. (29, 36): Cell position: (9, 75) activation: 0.056792
Idx: 1893, i.e. (29, 37): Cell position: (64, 455) activation: 0.045863
Idx: 1894, i.e. (29, 38): Cell position: (287, 750) activation: 0.056350
Idx: 1895, i.e. (29, 39): Cell position: (3, 823) activation: 0.056670
Idx: 1897, i.e. (29, 41): Cell position: (130, 1220) activation: 0.056384
Idx: 1898, i.e. (29, 42): Cell position: (280, 252) activation: 0.056361
Idx: 1899, i.e. (29, 43): Cell position: (241, 181) activation: 0.044486
Idx: 1900, i.e. (29, 44): Cell position: (313, 909) activation: 0.056522
Idx: 1902, i.e. (29, 46): Cell position: (83, 1031) activation: 0.056472
Idx: 1903, i.e. (29, 47): Cell position: (270, 998) activation: 0.056499
Idx: 1904, i.e. (29, 48): Cell position: (307, 289) activation: 0.041688
Idx: 1905, i.e. (29, 49): Cell position: (318, 315) activation: 0.056443
Idx: 1906, i.e. (29, 50): Cell position: (57, 406) activation: 0.057852
Idx: 1907, i.e. (29, 51): Cell position: (250, 393) activation: 0.056298
Idx: 1908, i.e. (29, 52): Cell position: (263, 132) activation: 0.014891
Idx: 1909, i.e. (29, 53): Cell position: (12, 1020) activation: 0.057678
Idx: 1912, i.e. (29, 56): Cell position: (160, 1040) activation: 0.048730
Idx: 1915, i.e. (29, 59): Cell position: (45, 372) activation: 0.056430
Idx: 1916, i.e. (29, 60): Cell position: (105, 914) activation: 0.022030
Idx: 1917, i.e. (29, 61): Cell position: (281, 575) activation: 0.056253
Idx: 1918, i.e. (29, 62): Cell position: (171, 377) activation: 0.056907
Idx: 1919, i.e. (29, 63): Cell position: (110, 562) activation: 0.056600
Idx: 448, i.e. (7, 0): Cell position: (67, 692) activation: 0.011100
Idx: 449, i.e. (7, 1): Cell position: (288, 451) activation: 0.014987
Idx: 450, i.e. (7, 2): Cell position: (58, 544) activation: 0.012396
Idx: 451, i.e. (7, 3): Cell position: (99, 595) activation: 0.013392
Idx: 452, i.e. (7, 4): Cell position: (252, 619) activation: 0.017550
Idx: 454, i.e. (7, 6): Cell position: (231, 662) activation: 0.011835
Idx: 455, i.e. (7, 7): Cell position: (98, 660) activation: 0.012009
Idx: 456, i.e. (7, 8): Cell position: (209, 665) activation: 0.011868
Idx: 457, i.e. (7, 9): Cell position: (124, 588) activation: 0.012552
Idx: 462, i.e. (7, 14): Cell position: (241, 1153) activation: 0.022454
Idx: 463, i.e. (7, 15): Cell position: (328, 1093) activation: 0.021586
Idx: 472, i.e. (7, 24): Cell position: (17, 1121) activation: 0.018346
Idx: 3682, i.e. (57, 34): Cell position: (267, 1247) activation: 0.010859
Idx: 3685, i.e. (57, 37): Cell position: (256, 1266) activation: 0.011859
Idx: 3686, i.e. (57, 38): Cell position: (56, 1117) activation: 0.010397
Idx: 3687, i.e. (57, 39): Cell position: (261, 1210) activation: 0.010662
Idx: 3690, i.e. (57, 42): Cell position: (165, 1187) activation: 0.010729
Idx: 3691, i.e. (57, 43): Cell position: (61, 933) activation: 0.012022
Idx: 3692, i.e. (57, 44): Cell position: (158, 1250) activation: 0.011342
